CID,Capítulo,Descrição,Codigo
F28,Transtornos mentais e comportamentais,Outros transtornos psicóticos não,F28 - Outros transtornos psicóticos não
F29,Transtornos mentais e comportamentais,Psicose não,F29 - Psicose não
F30,Transtornos mentais e comportamentais,Episódio maníaco,F30 - Episódio maníaco
F300,Transtornos mentais e comportamentais,Hipomania,F300 - Hipomania
F301,Transtornos mentais e comportamentais,Mania sem sintomas psicóticos,F301 - Mania sem sintomas psicóticos
F302,Transtornos mentais e comportamentais,Mania com sintomas psicóticos,F302 - Mania com sintomas psicóticos
F308,Transtornos mentais e comportamentais,Outros episódios maníacos,F308 - Outros episódios maníacos
F309,Transtornos mentais e comportamentais,Episódio maníaco não especificado,F309 - Episódio maníaco não especificado
F31,Transtornos mentais e comportamentais,Transtorno afetivo bipolar,F31 - Transtorno afetivo bipolar
F310,Transtornos mentais e comportamentais,"Transtorno afetivo bipolar, episódio atual hipomaníaco","F310 - Transtorno afetivo bipolar, episódio atual hipomaníaco"
F311,Transtornos mentais e comportamentais,"Transtorno afetivo bipolar, episódio atual maníaco sem sintomas psicóticos","F311 - Transtorno afetivo bipolar, episódio atual maníaco sem sintomas psicóticos"
F312,Transtornos mentais e comportamentais,"Transtorno afetivo bipolar, episódio atual maníaco com sintomas psicóticos","F312 - Transtorno afetivo bipolar, episódio atual maníaco com sintomas psicóticos"
F313,Transtornos mentais e comportamentais,"Transtorno afetivo bipolar, episódio atual depressivo leve ou moderado","F313 - Transtorno afetivo bipolar, episódio atual depressivo leve ou moderado"
F314,Transtornos mentais e comportamentais,"Transtorno afetivo bipolar, episódio atual depressivo grave sem sintomas psicóticos","F314 - Transtorno afetivo bipolar, episódio atual depressivo grave sem sintomas psicóticos"
F315,Transtornos mentais e comportamentais,"Transtorno afetivo bipolar, episódio atual depressivo grave com sintomas psicóticos","F315 - Transtorno afetivo bipolar, episódio atual depressivo grave com sintomas psicóticos"
F316,Transtornos mentais e comportamentais,"Transtorno afetivo bipolar, episódio atual misto","F316 - Transtorno afetivo bipolar, episódio atual misto"
F317,Transtornos mentais e comportamentais,"Transtorno afetivo bipolar, atualmente em remissão","F317 - Transtorno afetivo bipolar, atualmente em remissão"
F318,Transtornos mentais e comportamentais,Outros transtornos afetivos bipolares,F318 - Outros transtornos afetivos bipolares
F319,Transtornos mentais e comportamentais,Transtorno afetivo bipolar não especificado,F319 - Transtorno afetivo bipolar não especificado
F32,Transtornos mentais e comportamentais,Episódios depressivos,F32 - Episódios depressivos
F320,Transtornos mentais e comportamentais,Episódio depressivo leve,F320 - Episódio depressivo leve
F321,Transtornos mentais e comportamentais,Episódio depressivo moderado,F321 - Episódio depressivo moderado
F322,Transtornos mentais e comportamentais,Episódio depressivo grave sem sintomas psicóticos,F322 - Episódio depressivo grave sem sintomas psicóticos
F323,Transtornos mentais e comportamentais,Episódio depressivo grave com sintomas psicóticos,F323 - Episódio depressivo grave com sintomas psicóticos
F328,Transtornos mentais e comportamentais,Outros episódios depressivos,F328 - Outros episódios depressivos
F329,Transtornos mentais e comportamentais,Episódio depressivo não especificado,F329 - Episódio depressivo não especificado
F33,Transtornos mentais e comportamentais,Transtorno depressivo recorrente,F33 - Transtorno depressivo recorrente
F330,Transtornos mentais e comportamentais,"Transtorno depressivo recorrente, episódio atual leve","F330 - Transtorno depressivo recorrente, episódio atual leve"
F331,Transtornos mentais e comportamentais,"Transtorno depressivo recorrente, episódio atual moderado","F331 - Transtorno depressivo recorrente, episódio atual moderado"
F332,Transtornos mentais e comportamentais,"Transtorno depressivo recorrente, episódio atual grave sem sintomas psicóticos","F332 - Transtorno depressivo recorrente, episódio atual grave sem sintomas psicóticos"
F333,Transtornos mentais e comportamentais,"Transtorno depressivo recorrente, episódio atual grave com sintomas psicóticos","F333 - Transtorno depressivo recorrente, episódio atual grave com sintomas psicóticos"
F334,Transtornos mentais e comportamentais,"Transtorno depressivo recorrente, atualmente em remissão","F334 - Transtorno depressivo recorrente, atualmente em remissão"
F338,Transtornos mentais e comportamentais,Outros transtornos depressivos recorrentes,F338 - Outros transtornos depressivos recorrentes
F339,Transtornos mentais e comportamentais,Transtorno depressivo recorrente sem especificação,F339 - Transtorno depressivo recorrente sem especificação
F34,Transtornos mentais e comportamentais,Transtornos de humor [afetivos] persistentes,F34 - Transtornos de humor [afetivos] persistentes
F340,Transtornos mentais e comportamentais,Ciclotimia,F340 - Ciclotimia
F341,Transtornos mentais e comportamentais,Distimia,F341 - Distimia
F348,Transtornos mentais e comportamentais,Outros transtornos do humor [afetivos] persistentes,F348 - Outros transtornos do humor [afetivos] persistentes
F349,Transtornos mentais e comportamentais,Transtorno do humor [afetivo] persistente não especificado,F349 - Transtorno do humor [afetivo] persistente não especificado
F38,Transtornos mentais e comportamentais,Outros transtornos do humor [afetivos],F38 - Outros transtornos do humor [afetivos]
F380,Transtornos mentais e comportamentais,Outros transtornos do humor [afetivos] isolados,F380 - Outros transtornos do humor [afetivos] isolados
F381,Transtornos mentais e comportamentais,Outros transtornos do humor [afetivos] recorrentes,F381 - Outros transtornos do humor [afetivos] recorrentes
F388,Transtornos mentais e comportamentais,Outros transtornos especificados do humor [afetivos],F388 - Outros transtornos especificados do humor [afetivos]
F39,Transtornos mentais e comportamentais,Transtorno do humor [afetivo] não especificado,F39 - Transtorno do humor [afetivo] não especificado
F40,Transtornos mentais e comportamentais,Transtornos fóbico,F40 - Transtornos fóbico
F400,Transtornos mentais e comportamentais,Agorafobia,F400 - Agorafobia
F401,Transtornos mentais e comportamentais,Fobias sociais,F401 - Fobias sociais
F402,Transtornos mentais e comportamentais,Fobias específicas (isoladas),F402 - Fobias específicas (isoladas)
F408,Transtornos mentais e comportamentais,Outros transtornos fóbico,F408 - Outros transtornos fóbico
F409,Transtornos mentais e comportamentais,Transtorno fóbico,F409 - Transtorno fóbico
F41,Transtornos mentais e comportamentais,Outros transtornos ansiosos,F41 - Outros transtornos ansiosos
F410,Transtornos mentais e comportamentais,Transtorno de pânico [ansiedade paroxística episódica],F410 - Transtorno de pânico [ansiedade paroxística episódica]
F411,Transtornos mentais e comportamentais,Ansiedade generalizada,F411 - Ansiedade generalizada
F412,Transtornos mentais e comportamentais,Transtorno misto ansioso e depressivo,F412 - Transtorno misto ansioso e depressivo
F413,Transtornos mentais e comportamentais,Outros transtornos ansiosos mistos,F413 - Outros transtornos ansiosos mistos
F418,Transtornos mentais e comportamentais,Outros transtornos ansiosos especificados,F418 - Outros transtornos ansiosos especificados
F419,Transtornos mentais e comportamentais,Transtorno ansioso não especificado,F419 - Transtorno ansioso não especificado
F42,Transtornos mentais e comportamentais,Transtorno obsessivo,F42 - Transtorno obsessivo
F420,Transtornos mentais e comportamentais,Transtorno obsessivo,F420 - Transtorno obsessivo
F421,Transtornos mentais e comportamentais,Transtorno obsessivo,F421 - Transtorno obsessivo
F422,Transtornos mentais e comportamentais,Transtorno obsessivo,F422 - Transtorno obsessivo
F428,Transtornos mentais e comportamentais,Outros transtornos obsessivo,F428 - Outros transtornos obsessivo
F429,Transtornos mentais e comportamentais,Transtorno obsessivo,F429 - Transtorno obsessivo
F43,Transtornos mentais e comportamentais,"Reações ao ""stress"" grave e transtornos de adaptação","F43 - Reações ao ""stress"" grave e transtornos de adaptação"
F430,Transtornos mentais e comportamentais,"Reação aguda ao ""stress""","F430 - Reação aguda ao ""stress"""
F431,Transtornos mentais e comportamentais,"Estado de ""stress"" pós","F431 - Estado de ""stress"" pós"
F432,Transtornos mentais e comportamentais,Transtornos de adaptação,F432 - Transtornos de adaptação
F438,Transtornos mentais e comportamentais,"Outras reações ao ""stress"" grave","F438 - Outras reações ao ""stress"" grave"
F439,Transtornos mentais e comportamentais,"Reação não especificada a um ""stress"" grave","F439 - Reação não especificada a um ""stress"" grave"
F44,Transtornos mentais e comportamentais,Transtornos dissociativos [de conversão],F44 - Transtornos dissociativos [de conversão]
F440,Transtornos mentais e comportamentais,Amnésia dissociativa,F440 - Amnésia dissociativa
F441,Transtornos mentais e comportamentais,Fuga dissociativa,F441 - Fuga dissociativa
F442,Transtornos mentais e comportamentais,Estupor dissociativo,F442 - Estupor dissociativo
F443,Transtornos mentais e comportamentais,Estados de transe e de possessão,F443 - Estados de transe e de possessão
F444,Transtornos mentais e comportamentais,Transtornos dissociativos do movimento,F444 - Transtornos dissociativos do movimento
F445,Transtornos mentais e comportamentais,Convulsões dissociativas,F445 - Convulsões dissociativas
F446,Transtornos mentais e comportamentais,Anestesia e perda sensorial dissociativas,F446 - Anestesia e perda sensorial dissociativas
F447,Transtornos mentais e comportamentais,Transtorno dissociativo misto [de conversão],F447 - Transtorno dissociativo misto [de conversão]
F448,Transtornos mentais e comportamentais,Outros transtornos dissociativos [de conversão],F448 - Outros transtornos dissociativos [de conversão]
F449,Transtornos mentais e comportamentais,Transtorno dissociativo [de conversão] não especificado,F449 - Transtorno dissociativo [de conversão] não especificado
F45,Transtornos mentais e comportamentais,Transtornos somatoformes,F45 - Transtornos somatoformes
F450,Transtornos mentais e comportamentais,Transtorno de somatização,F450 - Transtorno de somatização
F451,Transtornos mentais e comportamentais,Transtorno somatoforme indiferenciado,F451 - Transtorno somatoforme indiferenciado
F452,Transtornos mentais e comportamentais,Transtorno hipocondríaco,F452 - Transtorno hipocondríaco
F453,Transtornos mentais e comportamentais,Transtorno neurovegetativo somatoforme,F453 - Transtorno neurovegetativo somatoforme
F454,Transtornos mentais e comportamentais,Transtorno doloroso somatoforme persistente,F454 - Transtorno doloroso somatoforme persistente
F458,Transtornos mentais e comportamentais,Outros transtornos somatoformes,F458 - Outros transtornos somatoformes
F459,Transtornos mentais e comportamentais,Transtorno somatoforme não especificado,F459 - Transtorno somatoforme não especificado
F48,Transtornos mentais e comportamentais,Outros transtornos neuróticos,F48 - Outros transtornos neuróticos
F480,Transtornos mentais e comportamentais,Neurastenia,F480 - Neurastenia
F481,Transtornos mentais e comportamentais,Síndrome de despersonalização,F481 - Síndrome de despersonalização
F488,Transtornos mentais e comportamentais,Outros transtornos neuróticos especificados,F488 - Outros transtornos neuróticos especificados
F489,Transtornos mentais e comportamentais,Transtorno neurótico não especificado,F489 - Transtorno neurótico não especificado
F50,Transtornos mentais e comportamentais,Transtornos da alimentação,F50 - Transtornos da alimentação
F500,Transtornos mentais e comportamentais,Anorexia nervosa,F500 - Anorexia nervosa
F501,Transtornos mentais e comportamentais,Anorexia nervosa atípica,F501 - Anorexia nervosa atípica
F502,Transtornos mentais e comportamentais,Bulimia nervosa,F502 - Bulimia nervosa
F503,Transtornos mentais e comportamentais,Bulimia nervosa atípica,F503 - Bulimia nervosa atípica
F504,Transtornos mentais e comportamentais,Hiperfagia associada a outros distúrbios psicológicos,F504 - Hiperfagia associada a outros distúrbios psicológicos
F505,Transtornos mentais e comportamentais,Vômitos associados a outros distúrbios psicológicos,F505 - Vômitos associados a outros distúrbios psicológicos
F508,Transtornos mentais e comportamentais,Outros transtornos da alimentação,F508 - Outros transtornos da alimentação
F509,Transtornos mentais e comportamentais,Transtorno de alimentação não especificado,F509 - Transtorno de alimentação não especificado
F51,Transtornos mentais e comportamentais,Transtornos não,F51 - Transtornos não
F510,Transtornos mentais e comportamentais,Insônia não,F510 - Insônia não
F511,Transtornos mentais e comportamentais,Hipersonia não,F511 - Hipersonia não
F512,Transtornos mentais e comportamentais,Transtorno do ciclo vigília,F512 - Transtorno do ciclo vigília
F513,Transtornos mentais e comportamentais,Sonambulismo,F513 - Sonambulismo
F514,Transtornos mentais e comportamentais,Terrores noturnos,F514 - Terrores noturnos
F515,Transtornos mentais e comportamentais,Pesadelos,F515 - Pesadelos
F518,Transtornos mentais e comportamentais,Outros transtornos do sono devidos a fatores não,F518 - Outros transtornos do sono devidos a fatores não
F519,Transtornos mentais e comportamentais,Transtorno do sono devido a fatores não,F519 - Transtorno do sono devido a fatores não
F52,Transtornos mentais e comportamentais,"Disfunção sexual, não causada por transtorno ou doença orgânica","F52 - Disfunção sexual, não causada por transtorno ou doença orgânica"
F520,Transtornos mentais e comportamentais,Ausência ou perda do desejo sexual,F520 - Ausência ou perda do desejo sexual
F521,Transtornos mentais e comportamentais,Aversão sexual e ausência de prazer sexual,F521 - Aversão sexual e ausência de prazer sexual
F522,Transtornos mentais e comportamentais,Falha de resposta genital,F522 - Falha de resposta genital
F523,Transtornos mentais e comportamentais,Disfunção orgásmica,F523 - Disfunção orgásmica
F524,Transtornos mentais e comportamentais,Ejaculação precoce,F524 - Ejaculação precoce
F525,Transtornos mentais e comportamentais,Vaginismo não,F525 - Vaginismo não
F526,Transtornos mentais e comportamentais,Dispareunia não,F526 - Dispareunia não
F527,Transtornos mentais e comportamentais,Apetite sexual excessivo,F527 - Apetite sexual excessivo
F528,Transtornos mentais e comportamentais,Outras disfunções sexuais não devidas a transtorno ou à doença orgânica,F528 - Outras disfunções sexuais não devidas a transtorno ou à doença orgânica
F529,Transtornos mentais e comportamentais,"Disfunção sexual não devida a transtorno ou à doença orgânica, não especificada","F529 - Disfunção sexual não devida a transtorno ou à doença orgânica, não especificada"
F53,Transtornos mentais e comportamentais,"Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte","F53 - Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte"
F530,Transtornos mentais e comportamentais,Transtornos mentais e comportamentais leves associados ao puerpério não classificados em outra parte,F530 - Transtornos mentais e comportamentais leves associados ao puerpério não classificados em outra parte
F531,Transtornos mentais e comportamentais,Transtornos mentais e comportamentais graves associados ao puerpério não classificados em outra parte,F531 - Transtornos mentais e comportamentais graves associados ao puerpério não classificados em outra parte
F538,Transtornos mentais e comportamentais,Outros transtornos mentais e comportamentais associados ao puerpério não classificados em outra parte,F538 - Outros transtornos mentais e comportamentais associados ao puerpério não classificados em outra parte
F539,Transtornos mentais e comportamentais,"Transtorno mental e comportamental associado ao puerpério, não especificado","F539 - Transtorno mental e comportamental associado ao puerpério, não especificado"
F54,Transtornos mentais e comportamentais,Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte,F54 - Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte
F55,Transtornos mentais e comportamentais,Abuso de substâncias que não produzem dependência,F55 - Abuso de substâncias que não produzem dependência
F59,Transtornos mentais e comportamentais,"Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas","F59 - Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas"
F60,Transtornos mentais e comportamentais,Transtornos específicos da personalidade,F60 - Transtornos específicos da personalidade
F600,Transtornos mentais e comportamentais,Personalidade paranóica,F600 - Personalidade paranóica
F601,Transtornos mentais e comportamentais,Personalidade esquizóide,F601 - Personalidade esquizóide
F602,Transtornos mentais e comportamentais,Personalidade dissocial,F602 - Personalidade dissocial
F603,Transtornos mentais e comportamentais,Transtorno de personalidade com instabilidade emocional,F603 - Transtorno de personalidade com instabilidade emocional
F604,Transtornos mentais e comportamentais,Personalidade histriônica,F604 - Personalidade histriônica
F605,Transtornos mentais e comportamentais,Personalidade anancástica,F605 - Personalidade anancástica
F606,Transtornos mentais e comportamentais,Personalidade ansiosa [esquiva],F606 - Personalidade ansiosa [esquiva]
F607,Transtornos mentais e comportamentais,Personalidade dependente,F607 - Personalidade dependente
F608,Transtornos mentais e comportamentais,Outros transtornos específicos da personalidade,F608 - Outros transtornos específicos da personalidade
F609,Transtornos mentais e comportamentais,Transtorno não especificado da personalidade,F609 - Transtorno não especificado da personalidade
F61,Transtornos mentais e comportamentais,Transtornos mistos da personalidade e outros transtornos da personalidade,F61 - Transtornos mistos da personalidade e outros transtornos da personalidade
F62,Transtornos mentais e comportamentais,Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral,F62 - Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral
F620,Transtornos mentais e comportamentais,Modificação duradoura da personalidade após uma experiência catastrófica,F620 - Modificação duradoura da personalidade após uma experiência catastrófica
F621,Transtornos mentais e comportamentais,Modificação duradoura da personalidade após doença psiquiátrica,F621 - Modificação duradoura da personalidade após doença psiquiátrica
F628,Transtornos mentais e comportamentais,Outras modificações duradouras da personalidade,F628 - Outras modificações duradouras da personalidade
F629,Transtornos mentais e comportamentais,"Modificação duradoura da personalidade, não especificada","F629 - Modificação duradoura da personalidade, não especificada"
F63,Transtornos mentais e comportamentais,Transtornos dos hábitos e dos impulsos,F63 - Transtornos dos hábitos e dos impulsos
F630,Transtornos mentais e comportamentais,Jogo patológico,F630 - Jogo patológico
F631,Transtornos mentais e comportamentais,Piromania,F631 - Piromania
F632,Transtornos mentais e comportamentais,Roubo patológico [cleptomania],F632 - Roubo patológico [cleptomania]
F633,Transtornos mentais e comportamentais,Tricotilomania,F633 - Tricotilomania
F638,Transtornos mentais e comportamentais,Outros transtornos dos hábitos e dos impulsos,F638 - Outros transtornos dos hábitos e dos impulsos
F639,Transtornos mentais e comportamentais,"Transtorno dos hábitos e impulsos, não especificado","F639 - Transtorno dos hábitos e impulsos, não especificado"
F64,Transtornos mentais e comportamentais,Transtornos da identidade sexual,F64 - Transtornos da identidade sexual
F640,Transtornos mentais e comportamentais,Transexualismo,F640 - Transexualismo
F641,Transtornos mentais e comportamentais,Travestismo bivalente,F641 - Travestismo bivalente
F642,Transtornos mentais e comportamentais,Transtorno de identidade sexual na infância,F642 - Transtorno de identidade sexual na infância
F648,Transtornos mentais e comportamentais,Outros transtornos da identidade sexual,F648 - Outros transtornos da identidade sexual
F649,Transtornos mentais e comportamentais,Transtorno não especificado da identidade sexual,F649 - Transtorno não especificado da identidade sexual
F65,Transtornos mentais e comportamentais,Transtornos da preferência sexual,F65 - Transtornos da preferência sexual
F650,Transtornos mentais e comportamentais,Fetichismo,F650 - Fetichismo
F651,Transtornos mentais e comportamentais,Travestismo fetichista,F651 - Travestismo fetichista
F652,Transtornos mentais e comportamentais,Exibicionismo,F652 - Exibicionismo
F653,Transtornos mentais e comportamentais,Voyeurismo,F653 - Voyeurismo
F654,Transtornos mentais e comportamentais,Pedofilia,F654 - Pedofilia
F655,Transtornos mentais e comportamentais,Sadomasoquismo,F655 - Sadomasoquismo
F656,Transtornos mentais e comportamentais,Transtornos múltiplos da preferência sexual,F656 - Transtornos múltiplos da preferência sexual
F658,Transtornos mentais e comportamentais,Outros transtornos da preferência sexual,F658 - Outros transtornos da preferência sexual
F659,Transtornos mentais e comportamentais,"Transtorno da preferência sexual, não especificado","F659 - Transtorno da preferência sexual, não especificado"
F66,Transtornos mentais e comportamentais,Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação,F66 - Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação
F660,Transtornos mentais e comportamentais,Transtorno da maturação sexual,F660 - Transtorno da maturação sexual
F661,Transtornos mentais e comportamentais,Orientação sexual egodistônica,F661 - Orientação sexual egodistônica
F662,Transtornos mentais e comportamentais,Transtorno do relacionamento sexual,F662 - Transtorno do relacionamento sexual
F668,Transtornos mentais e comportamentais,Outros transtornos do desenvolvimento psicossexual,F668 - Outros transtornos do desenvolvimento psicossexual
F669,Transtornos mentais e comportamentais,"Transtorno do desenvolvimento sexual, não especificado","F669 - Transtorno do desenvolvimento sexual, não especificado"
F68,Transtornos mentais e comportamentais,Outros transtornos da personalidade e do comportamento do adulto,F68 - Outros transtornos da personalidade e do comportamento do adulto
F680,Transtornos mentais e comportamentais,Sintomas físicos aumentados por fatores psicológicos,F680 - Sintomas físicos aumentados por fatores psicológicos
F681,Transtornos mentais e comportamentais,"Produção deliberada ou simulação de sintomas ou de incapacidades, físicas ou psicológicas [transtorno fictício]","F681 - Produção deliberada ou simulação de sintomas ou de incapacidades, físicas ou psicológicas [transtorno fictício]"
F688,Transtornos mentais e comportamentais,Outros transtornos especificados da personalidade e do comportamento do adulto,F688 - Outros transtornos especificados da personalidade e do comportamento do adulto
F69,Transtornos mentais e comportamentais,"Transtorno da personalidade e do comportamento do adulto, não especificado","F69 - Transtorno da personalidade e do comportamento do adulto, não especificado"
F70,Transtornos mentais e comportamentais,Retardo mental leve,F70 - Retardo mental leve
F700,Transtornos mentais e comportamentais,Retardo mental leve,F700 - Retardo mental leve
F701,Transtornos mentais e comportamentais,Retardo mental leve,F701 - Retardo mental leve
F708,Transtornos mentais e comportamentais,Retardo mental leve,F708 - Retardo mental leve
F709,Transtornos mentais e comportamentais,Retardo mental leve,F709 - Retardo mental leve
F71,Transtornos mentais e comportamentais,Retardo mental moderado,F71 - Retardo mental moderado
F710,Transtornos mentais e comportamentais,Retardo mental moderado,F710 - Retardo mental moderado
F711,Transtornos mentais e comportamentais,Retardo mental moderado,F711 - Retardo mental moderado
F718,Transtornos mentais e comportamentais,Retardo mental moderado,F718 - Retardo mental moderado
F719,Transtornos mentais e comportamentais,Retardo mental moderado,F719 - Retardo mental moderado
F72,Transtornos mentais e comportamentais,Retardo mental grave,F72 - Retardo mental grave
F720,Transtornos mentais e comportamentais,Retardo mental grave,F720 - Retardo mental grave
F721,Transtornos mentais e comportamentais,Retardo mental grave,F721 - Retardo mental grave
F728,Transtornos mentais e comportamentais,Retardo mental grave,F728 - Retardo mental grave
F729,Transtornos mentais e comportamentais,Retardo mental grave,F729 - Retardo mental grave
F73,Transtornos mentais e comportamentais,Retardo mental profundo,F73 - Retardo mental profundo
F730,Transtornos mentais e comportamentais,Retardo mental profundo,F730 - Retardo mental profundo
F731,Transtornos mentais e comportamentais,Retardo mental profundo,F731 - Retardo mental profundo
F738,Transtornos mentais e comportamentais,Retardo mental profundo,F738 - Retardo mental profundo
F739,Transtornos mentais e comportamentais,Retardo mental profundo,F739 - Retardo mental profundo
F78,Transtornos mentais e comportamentais,Outro retardo mental,F78 - Outro retardo mental
F780,Transtornos mentais e comportamentais,Outro retardo mental,F780 - Outro retardo mental
F781,Transtornos mentais e comportamentais,Outro retardo mental,F781 - Outro retardo mental
F788,Transtornos mentais e comportamentais,Outro retardo mental,F788 - Outro retardo mental
F789,Transtornos mentais e comportamentais,Outro retardo mental,F789 - Outro retardo mental
F79,Transtornos mentais e comportamentais,Retardo mental não especificado,F79 - Retardo mental não especificado
F790,Transtornos mentais e comportamentais,Retardo mental não especificado,F790 - Retardo mental não especificado
F791,Transtornos mentais e comportamentais,Retardo mental não especificado,F791 - Retardo mental não especificado
F798,Transtornos mentais e comportamentais,Retardo mental não especificado,F798 - Retardo mental não especificado
F799,Transtornos mentais e comportamentais,Retardo mental não especificado,F799 - Retardo mental não especificado
F80,Transtornos mentais e comportamentais,Transtornos específicos do desenvolvimento da fala e da linguagem,F80 - Transtornos específicos do desenvolvimento da fala e da linguagem
F800,Transtornos mentais e comportamentais,Transtorno específico da articulação da fala,F800 - Transtorno específico da articulação da fala
F801,Transtornos mentais e comportamentais,Transtorno expressivo de linguagem,F801 - Transtorno expressivo de linguagem
F802,Transtornos mentais e comportamentais,Transtorno receptivo da linguagem,F802 - Transtorno receptivo da linguagem
F803,Transtornos mentais e comportamentais,Afasia adquirida com epilepsia [síndrome de Landau,F803 - Afasia adquirida com epilepsia [síndrome de Landau
F808,Transtornos mentais e comportamentais,Outros transtornos de desenvolvimento da fala ou da linguagem,F808 - Outros transtornos de desenvolvimento da fala ou da linguagem
F809,Transtornos mentais e comportamentais,Transtorno não especificado do desenvolvimento da fala ou da linguagem,F809 - Transtorno não especificado do desenvolvimento da fala ou da linguagem
F81,Transtornos mentais e comportamentais,Transtornos específicos do desenvolvimento das habilidades escolares,F81 - Transtornos específicos do desenvolvimento das habilidades escolares
F810,Transtornos mentais e comportamentais,Transtorno específico de leitura,F810 - Transtorno específico de leitura
F811,Transtornos mentais e comportamentais,Transtorno específico da soletração,F811 - Transtorno específico da soletração
F812,Transtornos mentais e comportamentais,Transtorno específico da habilidade em aritmética,F812 - Transtorno específico da habilidade em aritmética
F813,Transtornos mentais e comportamentais,Transtorno misto de habilidades escolares,F813 - Transtorno misto de habilidades escolares
F818,Transtornos mentais e comportamentais,Outros transtornos do desenvolvimento das habilidades escolares,F818 - Outros transtornos do desenvolvimento das habilidades escolares
F819,Transtornos mentais e comportamentais,Transtorno não especificado do desenvolvimento das habilidades escolares,F819 - Transtorno não especificado do desenvolvimento das habilidades escolares
F82,Transtornos mentais e comportamentais,Transtorno específico do desenvolvimento motor,F82 - Transtorno específico do desenvolvimento motor
F83,Transtornos mentais e comportamentais,Transtornos específicos misto do desenvolvimento,F83 - Transtornos específicos misto do desenvolvimento
F84,Transtornos mentais e comportamentais,Transtornos globais do desenvolvimento,F84 - Transtornos globais do desenvolvimento
F840,Transtornos mentais e comportamentais,Autismo infantil,F840 - Autismo infantil
F841,Transtornos mentais e comportamentais,Autismo atípico,F841 - Autismo atípico
F842,Transtornos mentais e comportamentais,Síndrome de Rett,F842 - Síndrome de Rett
F843,Transtornos mentais e comportamentais,Outro transtorno desintegrativo da infância,F843 - Outro transtorno desintegrativo da infância
F844,Transtornos mentais e comportamentais,Transtorno com hipercinesia associada a retardo mental e a movimentos estereotipados,F844 - Transtorno com hipercinesia associada a retardo mental e a movimentos estereotipados
F845,Transtornos mentais e comportamentais,Síndrome de Asperger,F845 - Síndrome de Asperger
F848,Transtornos mentais e comportamentais,Outros transtornos globais do desenvolvimento,F848 - Outros transtornos globais do desenvolvimento
F849,Transtornos mentais e comportamentais,Transtornos globais não especificados do desenvolvimento,F849 - Transtornos globais não especificados do desenvolvimento
F88,Transtornos mentais e comportamentais,Outros transtornos do desenvolvimento psicológico,F88 - Outros transtornos do desenvolvimento psicológico
F89,Transtornos mentais e comportamentais,Transtorno do desenvolvimento psicológico não especificado,F89 - Transtorno do desenvolvimento psicológico não especificado
F90,Transtornos mentais e comportamentais,Transtornos hipercinéticos,F90 - Transtornos hipercinéticos
F900,Transtornos mentais e comportamentais,Distúrbios da atividade e da atenção,F900 - Distúrbios da atividade e da atenção
F901,Transtornos mentais e comportamentais,Transtorno hipercinético de conduta,F901 - Transtorno hipercinético de conduta
F908,Transtornos mentais e comportamentais,Outros transtornos hipercinéticos,F908 - Outros transtornos hipercinéticos
F909,Transtornos mentais e comportamentais,Transtorno hipercinético não especificado,F909 - Transtorno hipercinético não especificado
F91,Transtornos mentais e comportamentais,Distúrbios de conduta,F91 - Distúrbios de conduta
F910,Transtornos mentais e comportamentais,Distúrbio de conduta restrito ao contexto familiar,F910 - Distúrbio de conduta restrito ao contexto familiar
F911,Transtornos mentais e comportamentais,Distúrbio de conduta não,F911 - Distúrbio de conduta não
F912,Transtornos mentais e comportamentais,Distúrbio de conduta do tipo socializado,F912 - Distúrbio de conduta do tipo socializado
F913,Transtornos mentais e comportamentais,Distúrbio desafiador e de oposição,F913 - Distúrbio desafiador e de oposição
F918,Transtornos mentais e comportamentais,Outros transtornos de conduta,F918 - Outros transtornos de conduta
F919,Transtornos mentais e comportamentais,Transtorno de conduta não especificado,F919 - Transtorno de conduta não especificado
F92,Transtornos mentais e comportamentais,Transtornos mistos de conduta e das emoções,F92 - Transtornos mistos de conduta e das emoções
F920,Transtornos mentais e comportamentais,Distúrbio depressivo de conduta,F920 - Distúrbio depressivo de conduta
F928,Transtornos mentais e comportamentais,Outros transtornos mistos da conduta e das emoções,F928 - Outros transtornos mistos da conduta e das emoções
F929,Transtornos mentais e comportamentais,Transtorno misto da conduta e das emoções não especificado,F929 - Transtorno misto da conduta e das emoções não especificado
F93,Transtornos mentais e comportamentais,Transtornos emocionais com início especificamente na infância,F93 - Transtornos emocionais com início especificamente na infância
F930,Transtornos mentais e comportamentais,Transtorno ligado à angústia de separação,F930 - Transtorno ligado à angústia de separação
F931,Transtornos mentais e comportamentais,Transtorno fóbico ansioso da infância,F931 - Transtorno fóbico ansioso da infância
F932,Transtornos mentais e comportamentais,Distúrbio de ansiedade social da infância,F932 - Distúrbio de ansiedade social da infância
